symbol
AAPL
NVDA
MSFT
AMZN
GOOGL
GOOG
META
TSLA
AVGO
BRK-B
WMT
LLY
JPM
V
MA
ORCL
XOM
UNH
COST
PG
HD
NFLX
JNJ
BAC
CRM
ABBV
KO
TMUS
CVX
MRK
WFC
CSCO
ACN
NOW
AXP
MCD
PEP
BX
IBM
DIS
LIN
TMO
MS
ABT
ADBE
AMD
PM
ISRG
PLTR
GE
INTU
GS
CAT
TXN
QCOM
VZ
BKNG
DHR
T
BLK
RTX
SPGI
PFE
HON
NEE
CMCSA
ANET
AMGN
PGR
LOW
SYK
UNP
TJX
KKR
SCHW
ETN
AMAT
BA
BSX
C
UBER
COP
PANW
ADP
DE
FI
BMY
LMT
GILD
NKE
CB
UPS
ADI
MMC
MDT
VRTX
MU
SBUX
PLD
GEV
LRCX
MO
SO
EQIX
CRWD
PYPL
SHW
ICE
CME
AMT
APH
ELV
TT
MCO
CMG
INTC
KLAC
ABNB
DUK
PH
CDNS
WM
DELL
MDLZ
MAR
MSI
WELL
AON
REGN
CI
HCA
PNC
ITW
SNPS
CTAS
CL
USB
FTNT
ZTS
MCK
GD
TDG
CEG
AJG
EMR
MMM
ORLY
NOC
COF
ECL
EOG
FDX
BDX
APD
WMB
SPG
ADSK
RCL
RSG
CARR
CSX
HLT
DLR
TGT
KMI
OKE
TFC
AFL
GM
BK
ROP
MET
CPRT
FCX
CVS
PCAR
SRE
AZO
TRV
NXPI
JCI
GWW
NSC
PSA
SLB
AMP
ALL
FICO
MNST
PAYX
CHTR
AEP
ROST
PWR
CMI
AXON
VST
URI
MSCI
LULU
O
PSX
AIG
FANG
D
HWM
DHI
KR
NDAQ
OXY
EW
COR
KDP
FIS
KMB
NEM
DFS
PCG
TEL
MPC
FAST
AME
PEG
PRU
KVUE
STZ
GLW
LHX
GRMN
BKR
CBRE
CTVA
HES
CCI
DAL
CTSH
F
VRSK
EA
ODFL
XEL
TRGP
A
IT
LVS
SYY
VLO
OTIS
LEN
EXC
IR
YUM
KHC
GEHC
IQV
GIS
CCL
RMD
VMC
HSY
ACGL
IDXX
WAB
ROK
MLM
EXR
DD
ETR
DECK
EFX
UAL
WTW
TTWO
HIG
RJF
AVB
MTB
DXCM
ED
EBAY
HPQ
IRM
EIX
LYV
VICI
CNC
WEC
MCHP
HUM
ANSS
BRO
CSGP
MPWR
GDDY
TSCO
STT
CAH
GPN
FITB
XYL
HPE
KEYS
DOW
EQR
ON
PPG
K
SW
NUE
EL
BR
WBD
TPL
CHD
MTD
DOV
TYL
FTV
TROW
VLTO
EQT
SYF
NVR
DTE
VTR
AWK
ADM
NTAP
WST
CPAY
PPL
LYB
AEE
EXPE
HBAN
CDW
FE
HUBB
HAL
ROL
PHM
CINF
PTC
WRB
DRI
FOXA
FOX
IFF
SBAC
WAT
ERIE
TDY
ATO
RF
BIIB
ZBH
CNP
MKC
ES
WDC
TSN
TER
STE
PKG
CLX
NTRS
ZBRA
DVN
CBOE
WY
LUV
ULTA
CMS
INVH
FSLR
BF-B
LDOS
CFG
LH
VRSN
IP
ESS
PODD
COO
SMCI
STX
MAA
FDS
NRG
BBY
SNA
L
PFG
STLD
TRMB
OMC
CTRA
HRL
ARE
BLDR
JBHT
GEN
DGX
KEY
NI
MOH
PNR
J
DG
BALL
NWS
NWSA
UDR
HOLX
JBL
GPC
IEX
MAS
KIM
ALGN
DLTR
EXPD
EG
MRNA
LNT
AVY
BAX
TPR
VTRS
CF
FFIV
DPZ
AKAM
RL
TXT
SWKS
EVRG
EPAM
DOC
APTV
RVTY
AMCR
REG
POOL
INCY
BXP
KMX
CAG
HST
JKHY
SWK
DVA
CPB
CHRW
JNPR
CPT
TAP
NDSN
PAYC
UHS
NCLH
DAY
SJM
TECH
SOLV
ALLE
BG
AIZ
IPG
BEN
EMN
ALB
MGM
AOS
WYNN
PNW
ENPH
LKQ
FRT
CRL
GNRC
AES
GL
LW
HSIC
MKTX
MTCH
TFX
WBA
HAS
IVZ
APA
MOS
PARA
MHK
CE
HII
CZR
BWA
QRVO
FMC
AMTM
ATVI
ASML
AZN
TEAM
DDOG
FISV
GFS
ILMN
JD
LCID
MRVL
MELI
PDD
RIVN
SGEN
SIRI
WDAY
ZM
ZS
BP
BRK.B
IVV
IXUS
PUK
PXD
EFA
ITOT
EEM
SPY(PUT)
SQ
TIP
IEFA
IUSB
ABB
SIVB
IEMG
MDB
IWM
SNOW
ABC
LNG
CERN
LQD
DRE
FRC
VEEV
TWTR
ENTG
IWB
IOO
SNAP
PEAK
BILL
WOLF
TSM
OKTA
AA
SUI
HUBS
CTLT
MPW
ESGU
SE
FNF
BIDU
TTD
SEDG
VALE
IJH
TWLO
SSNC
ETSY
FLT
REXR
ABMD
APO
CGNX
SPLK
PKI
VMW
HZNP
VFC
LSI
SBNY
WTRG
DAR
AVTR
NIO
MRO
SEE
YUMC
LSCC
FHN
TRU
CTXS
EGP
HYG
IXJ
OVV
ALNY
WCN
LBRDK
NLOK
CAR
PLUG
RHI
SWN
BF.B
IJR
TTEK
XRAY
DOCU
LEA
WU
RS
FCNCA
NWL
WSO
BND
IDEV
ALLY
ELS
WPC
CABO
LQD(PUT)
LUMN
UGI
NBIX
CDK
Y
THC
BMRN
JLL
OC
AMC
CSL
SHV
WRK
CMA
IRT
BJ
SCI
RGEN
JAZZ
EWJ
SYNA
EQH
GGG
EWBC
AGCO
BIO
WSM
CUBE
OGE
WBS
GOLD
KRC
QQQ(PUT)
FWONK
CIEN
OMCL
RGLD
RUN
GTLS
MTDR
RPM
FR
AIRC
SYNH
AFG
MKL
ADC
LNC
BBWI
LAMR
AAP
ARW
X
UL
IIPR
VOYA
ACM
AMH
MTN
BRX
RGA
PFGC
GLOB
ACC
ZI
SLAB
ROKU
NNN
GME
LII
NVST
HEI
WHR
KBR
IIVI
M
MASI
EXPO
OHI
RRX
RE
PCTY
MANH
KNX
U
DASH
OLN
SWAV
LXP
ORI
BAH
CLF
CHKP
USMV
ZEN
NSA
FBHS
MATX
TW
EME
STOR
GXO
LHCG
SWX
SF
SRC
HALO
MKSI
UFPI
AMN
CCK
CHK
TDOC
LI
NET
ROG
UTHR
GLPI
SM
TTC
STAG
TNDM
ENSG
EHC
PEN
VLY
SHY
SAIA
SPSC
HEI.A
CHDN
CG
UNM
EXEL
FIVE
SLG
LAD
HP
MIDD
CUZ
TREX
PBCT
WEX
XPO
VNO
EXLS
CBSH
PINS
BKI
OLED
AIT
WWD
LECO
BRKR
NOV
WSC
KSS
SFBS
BKH
NLY
MUR
G
CCEP
SEIC
INDA
CFR
CNMD
POWI
SON
EXAS
CHE
ELAN
RPRX
TXRH
AVLR
CACI
PENN
JHG
KRG
ONTO
AQUA
IWM(PUT)
ZION
AMED
IAGG
SNY
LTHM
BCPC
IEF
GBCI
WH
ATR
ASGN
FFIN
UBSI
CPRI
FELE
VG
MXL
MAT
IWD
IEV
IDA
LPLA
EPD
CW
SNV
PNFP
HQY
IRDM
NYT
AAL
NEP
DEI
SIG
DT
SONO
CDAY
FAF
DISCK
AVGOP
NJR
MEDP
ESNT
DIOD
LSTR
RRC
RNR
SIGI
SJI
GNTX
NSIT
FUL
BURL
WD
CNXC
SPOT
JEF
CMC
JBT
LITE
CASY
CHX
LNW
AVA
CIVI
HR
CCMP
REGI
COHR
LNTH
OGN
MIME
TCOM
FN
PLNT
NLSN
DKS
ABG
SAIL
SPY
AGO
VIAV
RNG
PK
BRK.A
POR
EEFT
QLYS
AWR
EPR
AZTA
ENV
TGNA
INDB
PRFT
DCI
PB
CC
TNL
OUT
RYN
DISH
AYI
FLOW
EPRT
BLD
REZI
HWC
HBI
NVO
ARWR
MMSI
NVCR
XPEV
CBU
TRNO
NYCB
AVNT
ATI
OGS
BHVN
CWT
PTEN
SITE
NFG
RMBS
OSK
BKU
ONB
VAC
KFY
UCBI
RPD
GMED
HRB
DINO
HIW
NWE
ASO
MTH
MUSA
KLIC
INFY
ISBC
FND
SCCO
PCRX
QQQ(CALL)
AEL
SSD
TWNK
CADE
AIA
ITT
AJRD
DTM
MMS
KNSL
OMI
EZU
ARNC
BC
WTFC
WTS
ALRM
PDCE
AGNC
MDRX
TOL
SSB
LIVN
HI
GT
PSTG
BGNE
LFUS
ST
CROX
HELE
LEG
ZD
PII
RLI
INGR
VVV
ARES
NVT
FORM
UMBF
HOG
HXL
VIX
